,sample_name,type,fold
155,6885,test,0
156,4619,test,0
157,1985,test,0
158,3122,test,0
159,6246,test,0
160,2630,test,0
161,204,test,0
162,7678,test,0
163,2429,test,0
164,8636,test,0
165,7414,test,0
166,7614,test,0
167,1871,test,0
168,1081,test,0
169,1628,test,0
170,3731,test,0
171,5985,test,0
172,7933,test,0
173,5823,test,0
174,2243,test,0
175,5737,test,0
176,4669,test,0
177,8490,test,0
178,5527,test,0
179,4695,test,0
180,798,test,0
181,7683,test,0
182,973,test,0
183,6787,test,0
184,6624,test,0
185,1942,test,0
186,3689,test,0
187,3226,test,0
188,6551,test,0
189,8841,test,0
190,5148,test,0
191,1535,test,0
192,2730,test,0
193,8957,test,0
194,6941,test,0
195,6858,test,0
196,7295,test,0
197,7822,test,0
198,7815,test,0
199,2086,test,0
200,2340,test,0
201,8893,test,0
202,5319,test,0
203,2311,test,0
204,2496,test,0
205,6380,test,0
206,1388,test,0
207,1187,test,0
208,2105,test,0
209,9240,test,0
210,5403,test,0
211,235,test,0
212,2634,test,0
213,1177,test,0
214,7366,test,0
215,1140,test,0
216,237,test,0
217,4504,test,0
218,2998,test,0
219,4561,test,0
220,7100,test,0
221,9739,test,0
222,504,test,0
223,7589,test,0
224,5703,test,0
225,5474,test,0
226,3472,test,0
227,796,test,0
228,8972,test,0
229,1725,test,0
230,2448,test,0
231,3585,test,0
232,1400,test,0
233,2207,test,0
234,5376,test,0
235,9751,test,0
236,9333,test,0
237,1079,test,0
238,2744,test,0
239,7431,test,0
240,669,test,0
241,1978,test,0
242,9734,test,0
243,263,test,0
244,534,test,0
245,2660,test,0
246,6386,test,0
247,277,test,0
248,9562,test,0
249,6753,test,0
250,2405,test,0
251,5943,test,0
252,1767,test,0
253,5492,test,0
254,3901,test,0
255,5091,test,0
256,3341,test,0
257,2506,test,0
258,4282,test,0
259,2138,test,0
260,8585,test,0
261,3175,test,0
262,3069,test,0
263,6553,test,0
264,9060,test,0
265,9604,test,0
266,2046,test,0
267,4047,test,0
268,9182,test,0
269,3512,test,0
270,9535,test,0
271,5144,test,0
272,9009,test,0
273,5903,test,0
274,3781,test,0
275,9064,test,0
276,9972,test,0
277,8315,test,0
278,1143,test,0
279,478,test,0
280,5772,test,0
281,2185,test,0
282,1639,test,0
283,322,test,0
284,8629,test,0
285,5120,test,0
286,7339,test,0
287,8521,test,0
288,2636,test,0
289,2153,test,0
290,7255,test,0
291,5263,test,0
292,1768,test,0
293,4719,test,0
294,4433,test,0
295,9625,test,0
296,4429,test,0
297,3922,test,0
298,838,test,0
299,3756,test,0
300,502,test,0
301,4430,test,0
302,3340,test,0
303,2443,test,0
304,5804,test,0
305,8109,test,0
306,608,test,0
307,8822,test,0
308,6303,test,0
309,4109,test,0
310,8506,test,0
311,1791,test,0
312,6685,test,0
313,1578,test,0
314,5596,test,0
315,7817,test,0
316,8588,test,0
317,4766,test,0
318,8904,test,0
319,9121,test,0
320,8226,test,0
321,4399,test,0
322,9150,test,0
323,560,test,0
324,118,test,0
325,8544,test,0
326,565,test,0
327,1247,test,0
328,3096,test,0
329,1773,test,0
330,446,test,0
331,45,test,0
332,8093,test,0
333,2732,test,0
334,6640,test,0
335,6887,test,0
336,8047,test,0
337,3913,test,0
338,974,test,0
339,5145,test,0
340,5649,test,0
341,4375,test,0
342,7928,test,0
343,6275,test,0
344,5061,test,0
345,1240,test,0
346,4489,test,0
347,1764,test,0
348,1946,test,0
349,1662,test,0
350,8542,test,0
351,3557,test,0
352,6772,test,0
353,5434,test,0
354,8173,test,0
355,1666,test,0
356,4480,test,0
357,2452,test,0
358,9379,test,0
359,3840,test,0
360,5331,test,0
361,9662,test,0
362,4841,test,0
363,4611,test,0
364,6126,test,0
365,296,test,0
366,3685,test,0
367,2338,test,0
368,3518,test,0
369,2285,test,0
370,8164,test,0
371,3940,test,0
372,9450,test,0
373,1924,test,0
374,692,test,0
375,4564,test,0
376,9546,test,0
377,8829,test,0
378,6209,test,0
379,5108,test,0
380,4593,test,0
381,4326,test,0
382,6217,test,0
383,3977,test,0
384,1289,test,0
385,137,test,0
386,9581,test,0
387,3620,test,0
388,1256,test,0
389,5301,test,0
390,1964,test,0
391,3999,test,0
392,6097,test,0
393,4398,test,0
394,4363,test,0
395,7305,test,0
396,2719,test,0
397,7505,test,0
398,8353,test,0
399,7904,test,0
400,8439,test,0
401,9864,test,0
402,9261,test,0
403,2681,test,0
404,1579,test,0
405,8708,test,0
406,2920,test,0
407,6709,test,0
408,5439,test,0
409,7288,test,0
410,4043,test,0
411,5591,test,0
412,5382,test,0
413,2369,test,0
414,174,test,0
415,3453,test,0
416,7389,test,0
417,8021,test,0
418,3769,test,0
419,4321,test,0
420,9048,test,0
421,580,test,0
422,6856,test,0
423,6063,test,0
424,6485,test,0
425,2286,test,0
426,1433,test,0
427,1709,test,0
428,6906,test,0
429,391,test,0
430,1022,test,0
431,9029,test,0
432,5811,test,0
433,1904,test,0
434,382,test,0
435,358,test,0
436,1396,test,0
437,3021,test,0
438,6754,test,0
439,5507,test,0
440,8454,test,0
441,4918,test,0
442,2867,test,0
443,9493,test,0
444,1917,test,0
445,6171,test,0
446,761,test,0
447,603,test,0
448,5918,test,0
449,8979,test,0
450,6486,test,0
451,8441,test,0
452,701,test,0
453,8455,test,0
454,3878,test,0
455,5570,test,0
456,7512,test,0
457,2240,test,0
458,9044,test,0
459,865,test,0
460,6975,test,0
461,6546,test,0
462,4191,test,0
463,9196,test,0
464,2175,test,0
465,8934,test,0
466,7232,test,0
467,126,test,0
468,5271,test,0
469,1226,test,0
470,2888,test,0
471,556,test,0
472,1997,test,0
473,1670,test,0
474,4400,test,0
475,1820,test,0
476,1014,test,0
477,8765,test,0
478,6334,test,0
479,497,test,0
480,2128,test,0
481,684,test,0
482,7827,test,0
483,3289,test,0
484,5554,test,0
485,1958,test,0
486,244,test,0
487,506,test,0
488,4089,test,0
489,9334,test,0
490,3464,test,0
491,2582,test,0
492,2314,test,0
493,7864,test,0
494,3397,test,0
495,9428,test,0
496,291,test,0
497,1683,test,0
498,312,test,0
499,1623,test,0
500,8723,test,0
501,6572,test,0
502,1960,test,0
503,3013,test,0
504,5007,test,0
505,6055,test,0
506,655,test,0
507,4024,test,0
508,428,test,0
509,852,test,0
510,4190,test,0
511,7677,test,0
512,7385,test,0
513,2033,test,0
514,5762,test,0
515,8136,test,0
516,8766,test,0
517,7575,test,0
518,8285,test,0
519,2173,test,0
520,3134,test,0
521,2228,test,0
522,6050,test,0
523,4078,test,0
524,7963,test,0
525,5449,test,0
526,4828,test,0
527,2335,test,0
528,4249,test,0
529,8118,test,0
530,1323,test,0
531,6367,test,0
532,4925,test,0
533,1844,test,0
534,9126,test,0
535,2492,test,0
536,6427,test,0
537,4068,test,0
538,5413,test,0
539,8053,test,0
540,3317,test,0
541,8698,test,0
542,6609,test,0
543,6189,test,0
544,6383,test,0
545,8309,test,0
546,645,test,0
547,8988,test,0
548,8845,test,0
549,5361,test,0
550,8605,test,0
551,415,test,0
552,5575,test,0
553,5477,test,0
554,5451,test,0
555,4086,test,0
556,9911,test,0
557,5975,test,0
558,6147,test,0
559,1880,test,0
560,989,test,0
561,7819,test,0
562,3747,test,0
563,4455,test,0
564,4717,test,0
565,4850,test,0
566,6220,test,0
567,9807,test,0
568,9545,test,0
569,2891,test,0
570,3084,test,0
571,4402,test,0
572,7818,test,0
573,6799,test,0
574,3890,test,0
575,7956,test,0
576,8513,test,0
577,571,test,0
578,9894,test,0
579,2904,test,0
580,7314,test,0
581,3914,test,0
582,3101,test,0
583,149,test,0
584,453,test,0
585,2519,test,0
586,2734,test,0
587,5625,test,0
588,5438,test,0
589,8089,test,0
590,6370,test,0
591,4553,test,0
592,5491,test,0
593,8577,test,0
594,6605,test,0
595,9440,test,0
596,3966,test,0
597,993,test,0
598,1667,test,0
599,9475,test,0
600,1232,test,0
601,9710,test,0
602,1431,test,0
603,4999,test,0
604,3841,test,0
605,9394,test,0
606,6555,test,0
607,1467,test,0
608,2854,test,0
609,3411,test,0
610,6837,test,0
611,7039,test,0
612,1739,test,0
613,6960,test,0
614,2467,test,0
615,807,test,0
616,103,test,0
617,250,test,0
618,3361,test,0
619,2089,test,0
620,4978,test,0
621,9300,test,0
622,1567,test,0
623,3793,test,0
624,9695,test,0
625,4844,test,0
626,4274,test,0
627,9744,test,0
628,1286,test,0
629,1723,test,0
630,9799,test,0
631,5163,test,0
632,2130,test,0
633,9131,test,0
634,9830,test,0
635,8554,test,0
636,3630,test,0
637,8744,test,0
638,5494,test,0
639,9580,test,0
640,7742,test,0
641,88,test,0
642,849,test,0
643,1009,test,0
644,1026,test,0
645,9602,test,0
646,5054,test,0
647,8325,test,0
648,7365,test,0
649,2913,test,0
650,8124,test,0
651,6363,test,0
652,1701,test,0
653,9102,test,0
654,7278,test,0
655,4113,test,0
656,247,test,0
657,113,test,0
658,3183,test,0
659,4456,test,0
660,3036,test,0
661,928,test,0
662,3845,test,0
663,7849,test,0
664,5164,test,0
665,5122,test,0
666,3077,test,0
667,4764,test,0
668,1122,test,0
669,2856,test,0
670,4825,test,0
671,343,test,0
672,2300,test,0
673,4251,test,0
674,104,test,0
675,4970,test,0
676,6134,test,0
677,4441,test,0
678,880,test,0
679,7629,test,0
680,8374,test,0
681,8606,test,0
682,2108,test,0
683,4826,test,0
684,952,test,0
685,5278,test,0
686,624,test,0
687,6500,test,0
688,2209,test,0
689,119,test,0
690,1107,test,0
691,2279,test,0
692,5197,test,0
693,5185,test,0
694,827,test,0
695,1755,test,0
696,2517,test,0
697,7085,test,0
698,128,test,0
699,9818,test,0
700,3150,test,0
701,1819,test,0
702,2288,test,0
703,7139,test,0
704,9003,test,0
705,2306,test,0
706,8880,test,0
707,5170,test,0
708,8819,test,0
709,3812,test,0
710,9162,test,0
711,9376,test,0
712,297,test,0
713,5321,test,0
714,9130,test,0
715,8400,test,0
716,8664,test,0
717,78,test,0
718,5205,test,0
719,5622,test,0
720,5946,test,0
721,3210,test,0
722,2493,test,0
723,5130,test,0
724,7083,test,0
725,171,test,0
726,3075,test,0
727,7477,test,0
728,7053,test,0
729,6158,test,0
730,2741,test,0
731,5320,test,0
732,5228,test,0
733,8954,test,0
734,4994,test,0
735,3355,test,0
736,7320,test,0
737,1538,test,0
738,6232,test,0
739,6185,test,0
740,4827,test,0
741,2313,test,0
742,7446,test,0
743,3437,test,0
744,2807,test,0
745,2075,test,0
746,4528,test,0
747,7313,test,0
748,3467,test,0
749,8586,test,0
750,1185,test,0
751,3371,test,0
752,7090,test,0
753,3061,test,0
754,1403,test,0
755,2438,test,0
756,416,test,0
757,3924,test,0
758,6328,test,0
759,1661,test,0
760,2339,test,0
761,6350,test,0
762,4153,test,0
763,7561,test,0
764,8187,test,0
765,1268,test,0
766,9538,test,0
767,392,test,0
768,9716,test,0
769,8566,test,0
770,2484,test,0
771,6645,test,0
772,4774,test,0
773,318,test,0
774,110,test,0
775,4869,test,0
776,7553,test,0
777,1458,test,0
778,3469,test,0
779,8107,test,0
780,3294,test,0
781,5227,test,0
782,3432,test,0
783,5107,test,0
784,4891,test,0
785,818,test,0
786,8661,test,0
787,473,test,0
788,5927,test,0
789,4878,test,0
790,9306,test,0
791,6250,test,0
792,9884,test,0
793,7081,test,0
794,44,test,0
795,8160,test,0
796,97,test,0
797,8834,test,0
798,1224,test,0
799,2996,test,0
800,1626,test,0
801,7475,test,0
802,868,test,0
803,107,test,0
804,7753,test,0
805,9133,test,0
806,3083,test,0
807,2504,test,0
808,464,test,0
809,2929,test,0
810,5324,test,0
811,6658,test,0
812,182,test,0
813,5304,test,0
814,6652,test,0
815,3703,test,0
816,6409,test,0
817,8442,test,0
818,335,test,0
819,9560,test,0
820,6547,test,0
821,9132,test,0
822,9544,test,0
823,4664,test,0
824,4957,test,0
825,5488,test,0
826,679,test,0
827,1049,test,0
828,2122,test,0
829,5151,test,0
830,8777,test,0
831,4769,test,0
832,5287,test,0
833,6936,test,0
834,7412,test,0
835,814,test,0
836,3455,test,0
837,6060,test,0
838,3842,test,0
839,8924,test,0
840,2474,test,0
841,1836,test,0
842,4014,test,0
843,8950,test,0
844,2482,test,0
845,2543,test,0
846,1576,test,0
847,1765,test,0
848,7985,test,0
849,3086,test,0
850,9284,test,0
851,2933,test,0
852,6304,test,0
853,465,test,0
854,5426,test,0
855,449,test,0
856,8461,test,0
857,4958,test,0
858,1412,test,0
859,2563,test,0
860,7876,test,0
861,5609,test,0
862,656,test,0
863,6013,test,0
864,4517,test,0
865,9981,test,0
866,4610,test,0
867,7434,test,0
868,5880,test,0
869,6024,test,0
870,2184,test,0
871,6141,test,0
872,5157,test,0
873,4427,test,0
874,9945,test,0
875,9933,test,0
876,9093,test,0
877,6647,test,0
878,5257,test,0
879,8366,test,0
880,9890,test,0
881,6664,test,0
882,1249,test,0
883,6768,test,0
884,6027,test,0
885,4537,test,0
886,1679,test,0
887,2614,test,0
888,6622,test,0
889,5302,test,0
890,3495,test,0
891,8790,test,0
892,4870,test,0
893,2987,test,0
894,3678,test,0
895,595,test,0
896,9674,test,0
897,8224,test,0
898,778,test,0
899,1257,test,0
900,2676,test,0
901,8512,test,0
902,7403,test,0
903,593,test,0
904,8174,test,0
905,2967,test,0
906,4206,test,0
907,5214,test,0
908,6820,test,0
909,8165,test,0
910,3618,test,0
911,3110,test,0
912,8168,test,0
913,937,test,0
914,8236,test,0
915,7533,test,0
916,8942,test,0
917,5189,test,0
918,2507,test,0
919,1419,test,0
920,1378,test,0
921,4322,test,0
922,521,test,0
923,9994,test,0
924,673,test,0
925,686,test,0
926,6853,test,0
927,2716,test,0
928,4415,test,0
929,8017,test,0
930,6940,test,0
931,1210,test,0
932,7191,test,0
933,282,test,0
934,977,test,0
935,2094,test,0
936,5672,test,0
937,8457,test,0
938,2431,test,0
939,6864,test,0
940,9419,test,0
941,7685,test,0
942,4260,test,0
943,8687,test,0
944,1385,test,0
945,3981,test,0
946,6529,test,0
947,3723,test,0
948,3838,test,0
949,3,test,0
950,3915,test,0
951,9732,test,0
952,2657,test,0
953,8393,test,0
954,9763,test,0
955,7401,test,0
956,7866,test,0
957,3674,test,0
958,8444,test,0
959,8505,test,0
960,9396,test,0
961,5541,test,0
962,2771,test,0
963,2869,test,0
964,2952,test,0
965,4088,test,0
966,7627,test,0
967,5408,test,0
968,4005,test,0
969,5590,test,0
970,7609,test,0
971,7452,test,0
972,4654,test,0
973,6604,test,0
974,4300,test,0
975,6784,test,0
976,3560,test,0
977,4236,test,0
978,2763,test,0
979,3614,test,0
980,6666,test,0
981,7015,test,0
982,4314,test,0
983,969,test,0
984,8596,test,0
985,3859,test,0
986,2419,test,0
987,3990,test,0
988,5489,test,0
989,9865,test,0
990,6600,test,0
991,4242,test,0
992,8971,test,0
993,6464,test,0
994,3588,test,0
995,7217,test,0
996,8161,test,0
997,6909,test,0
998,822,test,0
999,5769,test,0
0,346,val,0
1,2058,val,0
2,1515,val,0
3,3963,val,0
4,5378,val,0
5,1076,val,0
6,5402,val,0
7,5644,val,0
8,3858,val,0
9,8134,val,0
10,5117,val,0
11,2099,val,0
12,9444,val,0
13,6701,val,0
14,1826,val,0
15,705,val,0
16,8825,val,0
17,357,val,0
18,4277,val,0
19,8665,val,0
20,8473,val,0
21,3356,val,0
22,5044,val,0
23,9936,val,0
24,3947,val,0
25,1064,val,0
26,7604,val,0
27,5058,val,0
28,5365,val,0
29,8005,val,0
30,7155,val,0
31,1067,val,0
32,4796,val,0
33,1601,val,0
34,2578,val,0
35,9431,val,0
36,2315,val,0
37,6793,val,0
38,6775,val,0
39,7194,val,0
40,2034,val,0
41,311,val,0
42,3465,val,0
43,9862,val,0
44,1454,val,0
45,8917,val,0
46,4041,val,0
47,7233,val,0
48,7781,val,0
49,3046,val,0
50,8938,val,0
51,658,val,0
52,9787,val,0
53,1928,val,0
54,2737,val,0
55,3827,val,0
56,219,val,0
57,4599,val,0
58,7128,val,0
59,3882,val,0
60,6440,val,0
61,4700,val,0
62,1690,val,0
63,5836,val,0
64,1979,val,0
65,3370,val,0
66,4135,val,0
67,1555,val,0
68,4733,val,0
69,3592,val,0
70,6712,val,0
71,3988,val,0
72,7619,val,0
73,8500,val,0
74,1477,val,0
75,8655,val,0
76,725,val,0
77,3320,val,0
78,1968,val,0
79,5213,val,0
80,2049,val,0
81,9466,val,0
82,4053,val,0
83,3466,val,0
84,9957,val,0
85,4200,val,0
86,9874,val,0
87,7917,val,0
88,7989,val,0
89,2752,val,0
90,8007,val,0
91,6741,val,0
92,8985,val,0
93,3801,val,0
94,3006,val,0
95,6281,val,0
96,7147,val,0
97,4280,val,0
98,9944,val,0
99,180,val,0
100,9008,val,0
101,4730,val,0
102,5764,val,0
103,6430,val,0
104,3222,val,0
105,4162,val,0
106,299,val,0
107,1213,val,0
108,4323,val,0
109,2883,val,0
110,6842,val,0
111,8478,val,0
112,9370,val,0
113,1653,val,0
114,6066,val,0
115,6394,val,0
116,6518,val,0
117,3155,val,0
118,3119,val,0
119,8491,val,0
120,7142,val,0
121,0,val,0
122,9823,val,0
123,9738,val,0
124,7538,val,0
125,463,val,0
126,9052,val,0
127,3574,val,0
128,2865,val,0
129,896,val,0
130,1005,val,0
131,8176,val,0
132,3292,val,0
133,8387,val,0
134,9590,val,0
135,3401,val,0
136,4663,val,0
137,527,val,0
138,8122,val,0
139,9733,val,0
140,4618,val,0
141,7892,val,0
142,7720,val,0
143,2699,val,0
144,2003,val,0
145,8944,val,0
146,6766,val,0
147,6043,val,0
148,9004,val,0
149,4926,val,0
150,2839,val,0
151,7791,val,0
152,3502,val,0
153,5443,val,0
154,2302,val,0
155,2411,val,0
156,7207,val,0
157,2899,val,0
158,5478,val,0
159,3641,val,0
160,7613,val,0
161,6946,val,0
162,1716,val,0
163,5216,val,0
164,3900,val,0
165,9084,val,0
166,6405,val,0
167,7524,val,0
168,6031,val,0
169,2343,val,0
170,7416,val,0
171,9227,val,0
172,4617,val,0
173,3969,val,0
174,2885,val,0
175,8776,val,0
176,8666,val,0
177,4046,val,0
178,4485,val,0
179,429,val,0
180,1957,val,0
181,3670,val,0
182,4821,val,0
183,6038,val,0
184,9479,val,0
185,3839,val,0
186,6353,val,0
187,7626,val,0
188,4410,val,0
189,8743,val,0
190,2019,val,0
191,9144,val,0
192,980,val,0
193,8384,val,0
194,9380,val,0
195,8753,val,0
196,6078,val,0
197,7597,val,0
198,1150,val,0
199,4930,val,0
200,4289,val,0
201,3391,val,0
202,3217,val,0
203,3755,val,0
204,6959,val,0
205,7821,val,0
206,4423,val,0
207,2472,val,0
208,6550,val,0
209,2778,val,0
210,812,val,0
211,828,val,0
212,5018,val,0
213,6586,val,0
214,9323,val,0
215,1300,val,0
216,8659,val,0
217,6218,val,0
218,28,val,0
219,4187,val,0
220,3542,val,0
221,4585,val,0
222,1722,val,0
223,568,val,0
224,2889,val,0
225,146,val,0
226,4547,val,0
227,8296,val,0
228,2129,val,0
229,2591,val,0
230,1618,val,0
231,7645,val,0
232,6676,val,0
233,420,val,0
234,9364,val,0
235,6868,val,0
236,5425,val,0
237,3375,val,0
238,9263,val,0
239,3771,val,0
240,7669,val,0
241,59,val,0
242,1491,val,0
243,4425,val,0
244,6230,val,0
245,3091,val,0
246,2460,val,0
247,4028,val,0
248,600,val,0
249,8008,val,0
250,6049,val,0
251,5136,val,0
252,1134,val,0
253,2307,val,0
254,3550,val,0
255,2191,val,0
256,6153,val,0
257,4454,val,0
258,7362,val,0
259,9528,val,0
260,8157,val,0
261,2761,val,0
262,5629,val,0
263,9486,val,0
264,5698,val,0
265,8796,val,0
266,2214,val,0
267,471,val,0
268,5945,val,0
269,610,val,0
270,246,val,0
271,9983,val,0
272,3898,val,0
273,722,val,0
274,3392,val,0
275,1427,val,0
276,173,val,0
277,6148,val,0
278,3521,val,0
279,7294,val,0
280,8928,val,0
281,9731,val,0
282,5337,val,0
283,6245,val,0
284,7804,val,0
285,3596,val,0
286,7118,val,0
287,9035,val,0
288,3182,val,0
289,2673,val,0
290,6005,val,0
291,5223,val,0
292,6912,val,0
293,3064,val,0
294,4063,val,0
295,2321,val,0
296,1046,val,0
297,5733,val,0
298,5606,val,0
299,5345,val,0
300,7428,val,0
301,3824,val,0
302,7563,val,0
303,8758,val,0
304,8032,val,0
305,3052,val,0
306,2318,val,0
307,2584,val,0
308,5840,val,0
309,6032,val,0
310,6511,val,0
311,7865,val,0
312,6723,val,0
313,2611,val,0
314,5241,val,0
315,9070,val,0
316,9059,val,0
317,1501,val,0
318,158,val,0
319,450,val,0
320,9321,val,0
321,1281,val,0
322,6993,val,0
323,3040,val,0
324,6890,val,0
325,9795,val,0
326,7705,val,0
327,1405,val,0
328,7862,val,0
329,6964,val,0
330,9221,val,0
331,100,val,0
332,685,val,0
333,644,val,0
334,9721,val,0
335,3344,val,0
336,9670,val,0
337,9761,val,0
338,7352,val,0
339,7484,val,0
340,4904,val,0
341,1913,val,0
342,932,val,0
343,2201,val,0
344,2249,val,0
345,4903,val,0
346,6689,val,0
347,6543,val,0
348,5455,val,0
349,337,val,0
350,3273,val,0
351,4447,val,0
352,9401,val,0
353,3902,val,0
354,5221,val,0
355,4107,val,0
356,6732,val,0
357,590,val,0
358,5175,val,0
359,4639,val,0
360,8569,val,0
361,138,val,0
362,459,val,0
363,5879,val,0
364,3213,val,0
365,3607,val,0
366,3451,val,0
367,5380,val,0
368,2007,val,0
369,1297,val,0
370,6101,val,0
371,6994,val,0
372,6955,val,0
373,9587,val,0
374,9917,val,0
375,3042,val,0
376,5416,val,0
377,3247,val,0
378,8346,val,0
379,5586,val,0
380,8849,val,0
381,9127,val,0
382,9351,val,0
383,3544,val,0
384,7354,val,0
385,8689,val,0
386,4876,val,0
387,2005,val,0
388,4481,val,0
389,5802,val,0
390,5121,val,0
391,2154,val,0
392,3907,val,0
393,6630,val,0
394,1673,val,0
395,9199,val,0
396,2735,val,0
397,6682,val,0
398,4897,val,0
399,8258,val,0
400,4515,val,0
401,1911,val,0
402,5753,val,0
403,3202,val,0
404,2925,val,0
405,1347,val,0
406,3959,val,0
407,4503,val,0
408,6562,val,0
409,7335,val,0
410,1908,val,0
411,8038,val,0
412,5206,val,0
413,7449,val,0
414,3477,val,0
415,4859,val,0
416,7605,val,0
417,165,val,0
418,3070,val,0
419,1552,val,0
420,6587,val,0
421,3635,val,0
422,4888,val,0
423,1990,val,0
424,9235,val,0
425,1017,val,0
426,5493,val,0
427,1872,val,0
428,2947,val,0
429,4703,val,0
430,3225,val,0
431,6742,val,0
432,319,val,0
433,7249,val,0
434,3035,val,0
435,4462,val,0
436,6127,val,0
437,1636,val,0
438,1319,val,0
439,8836,val,0
440,7634,val,0
441,584,val,0
442,2766,val,0
443,8058,val,0
444,2959,val,0
445,9927,val,0
446,5196,val,0
447,3078,val,0
448,7729,val,0
449,1724,val,0
450,4490,val,0
451,4734,val,0
452,2170,val,0
453,9655,val,0
454,4853,val,0
455,8882,val,0
456,7112,val,0
457,9846,val,0
458,4637,val,0
459,1812,val,0
460,4980,val,0
461,693,val,0
462,9072,val,0
463,6364,val,0
464,697,val,0
465,8592,val,0
466,4284,val,0
467,275,val,0
468,8347,val,0
469,1503,val,0
470,4451,val,0
471,9230,val,0
472,7585,val,0
473,3751,val,0
474,3459,val,0
475,9435,val,0
476,7049,val,0
477,706,val,0
478,4590,val,0
479,5968,val,0
480,771,val,0
481,6744,val,0
482,7442,val,0
483,4102,val,0
484,2802,val,0
485,3212,val,0
486,4393,val,0
487,6764,val,0
488,7775,val,0
489,2248,val,0
490,2617,val,0
491,9959,val,0
492,8462,val,0
493,4188,val,0
494,460,val,0
495,8362,val,0
496,3403,val,0
497,9762,val,0
498,3562,val,0
499,8238,val,0
500,8215,val,0
501,6318,val,0
502,2227,val,0
503,1452,val,0
504,7012,val,0
505,4185,val,0
506,1325,val,0
507,2800,val,0
508,6748,val,0
509,5587,val,0
510,8578,val,0
511,7601,val,0
512,7180,val,0
513,7149,val,0
514,8941,val,0
515,6804,val,0
516,4863,val,0
517,6416,val,0
518,8059,val,0
519,6329,val,0
520,9327,val,0
521,4021,val,0
522,5015,val,0
523,8337,val,0
524,9699,val,0
525,1262,val,0
526,408,val,0
527,6614,val,0
528,3022,val,0
529,8832,val,0
530,9007,val,0
531,4496,val,0
532,1841,val,0
533,9343,val,0
534,417,val,0
535,5471,val,0
536,7315,val,0
537,4602,val,0
538,1634,val,0
539,4439,val,0
540,7427,val,0
541,7261,val,0
542,5961,val,0
543,6262,val,0
544,1456,val,0
545,3365,val,0
546,5176,val,0
547,9223,val,0
548,1482,val,0
549,7129,val,0
550,9229,val,0
551,7198,val,0
552,3979,val,0
553,452,val,0
554,792,val,0
555,9882,val,0
556,3051,val,0
557,9385,val,0
558,1980,val,0
559,1317,val,0
560,7224,val,0
561,1948,val,0
562,27,val,0
563,8952,val,0
564,4362,val,0
565,8816,val,0
566,7638,val,0
567,3109,val,0
568,6366,val,0
569,1619,val,0
570,8404,val,0
